[21-12-2025 23:16:09] 	 ERROR 	 Log nr 1
[21-12-2025 23:16:09] 	 ERROR 	 Log nr 2
[21-12-2025 23:16:09] 	 INFO 	 Log nr 3
[21-12-2025 23:16:09] 	 ERROR 	 Log nr 4
[21-12-2025 23:16:09] 	 INFO 	 Log nr 5
[21-12-2025 23:16:09] 	 ERROR 	 Log nr 6
[21-12-2025 23:16:09] 	 WARN 	 Log nr 7
[21-12-2025 23:16:09] 	 ERROR 	 Log nr 8
[21-12-2025 23:16:09] 	 WARN 	 Log nr 9
[21-12-2025 23:16:09] 	 ERROR 	 Log nr 10
[21-12-2025 23:16:09] 	 INFO 	 Log nr 11
[21-12-2025 23:16:09] 	 WARN 	 Log nr 12
[21-12-2025 23:16:09] 	 WARN 	 Log nr 13
